6_x,7_x,12_x,13_x,14_x,15_x,16_x,17_x,6_y,7_y,12_y,13_y,14_y,15_y,16_y,17_y,Y
0.26774096,0.26909456,0.49482056,0.5016979,0.6649892,0.6681502,0.83685815,0.8091948,0.49741763,0.38469005,0.51978004,0.43753502,0.54242486,0.43372834,0.5739925,0.4354417,0
0.31533813,0.31631988,0.53171587,0.5297868,0.684797,0.6843333,0.8398928,0.82272977,0.595647,0.47339684,0.5571326,0.48213673,0.5917449,0.48227164,0.61470115,0.4705143,0
0.2306649,0.23402214,0.49103877,0.48678994,0.64576685,0.63270897,0.80316174,0.7803236,0.5587269,0.43456137,0.5274213,0.45361388,0.53799134,0.42956924,0.5736965,0.42829797,0
0.27444983,0.25573167,0.5185904,0.52191585,0.6720954,0.67904896,0.828917,0.8440446,0.58290946,0.4533547,0.55730885,0.48508605,0.54639137,0.46383655,0.52932924,0.45801994,0
0.29496264,0.2764973,0.52839166,0.51637036,0.71572226,0.71861625,0.8697366,0.89476466,0.55211663,0.45814002,0.49652654,0.4494375,0.4814816,0.43459198,0.48490378,0.42909718,0
0.17822525,0.18109554,0.45677698,0.45346063,0.68730164,0.6743041,0.88752353,0.8711293,0.64366883,0.5081568,0.58638626,0.49458146,0.58331347,0.51145726,0.59183395,0.50993925,0
0.27172258,0.26498324,0.52614325,0.5193784,0.7162669,0.7187207,0.87642115,0.90045595,0.5615204,0.459356,0.56210047,0.49305946,0.5637242,0.47414285,0.5519991,0.4336452,0
0.2230132,0.24930474,0.53406334,0.5351611,0.7749621,0.7537749,0.988626,0.9761581,0.6229198,0.4374419,0.6621623,0.54531103,0.6267824,0.46713263,0.6736748,0.48937318,0
0.22922948,0.22560206,0.49454924,0.49527484,0.68520665,0.6778097,0.8630624,0.8403579,0.5874118,0.45331377,0.55316293,0.47603247,0.5803833,0.4846822,0.609654,0.4967266,0
0.21730708,0.218409,0.48311597,0.48751292,0.675241,0.68777627,0.83855045,0.8797152,0.5810374,0.442159,0.56515104,0.48121473,0.56713843,0.4570516,0.5623101,0.44662333,0
0.19210905,0.22582984,0.47035718,0.47235698,0.68596184,0.6710891,0.8838587,0.84428495,0.55328935,0.41927716,0.5489367,0.46089095,0.54576373,0.44345233,0.58673674,0.45368513,0
0.18291032,0.19748572,0.46852386,0.4749902,0.64834034,0.6760127,0.7946265,0.8913102,0.39065966,0.30008018,0.41044337,0.34902486,0.3947909,0.3349428,0.39027864,0.33196595,0
0.19454817,0.19559374,0.45771512,0.45930904,0.67837256,0.69703597,0.892146,0.90965044,0.5374814,0.38154858,0.5131233,0.43915612,0.527912,0.4215922,0.52866364,0.38076663,0
0.21768372,0.21581124,0.4706493,0.4658166,0.660151,0.67952883,0.8409033,0.8875967,0.5395911,0.42164052,0.53585684,0.46057034,0.5314857,0.4340032,0.53757316,0.38640624,0
0.18752943,0.18889144,0.49024332,0.49418432,0.683373,0.72530884,0.79904234,0.9461187,0.5293263,0.4422121,0.49733853,0.43122053,0.5072913,0.43477058,0.5141202,0.40263993,0
0.24375865,0.24948472,0.49364206,0.49482545,0.7180393,0.7058654,0.9153298,0.8854353,0.58260524,0.4185772,0.5400055,0.453381,0.5634855,0.4269725,0.6030934,0.40250063,0
0.20819145,0.19726998,0.47981772,0.48276246,0.67731756,0.694983,0.8823895,0.917262,0.52882016,0.37818015,0.49864992,0.40536892,0.55122316,0.43277892,0.52305573,0.40787265,0
0.25693953,0.26394808,0.5109662,0.51290715,0.69413877,0.70259285,0.86382884,0.89203,0.5217886,0.40734512,0.516418,0.4418362,0.5323163,0.43329602,0.54844767,0.42362517,0
0.19946429,0.18471633,0.46807832,0.4702042,0.6637831,0.6759307,0.8488232,0.8820847,0.595974,0.44676277,0.57159775,0.48188278,0.56759834,0.4303741,0.56912947,0.4002614,0
0.30048674,0.2948495,0.50128603,0.49953425,0.6368048,0.6269701,0.7735996,0.7477557,0.56398994,0.45639095,0.5362642,0.46405813,0.54123104,0.4524446,0.56531394,0.45035824,0
0.34916624,0.35752293,0.5284609,0.5310453,0.58319426,0.5806234,0.70165014,0.692418,0.5108118,0.4281724,0.46874878,0.43858978,0.4355592,0.5961023,0.35538968,0.5714128,1
0.30418503,0.32896793,0.53955066,0.56012255,0.6750834,0.66297907,0.9347369,0.8920051,0.52926105,0.36904484,0.68944645,0.53333294,0.53087795,0.36431,0.61681575,0.457666,1
0.31728905,0.33577096,0.65624475,0.6703645,0.5789973,0.58996004,0.8779843,0.92795837,0.5973575,0.34922764,0.5043805,0.38691494,0.71628773,0.30082402,0.6125823,0.33427173,1
0.3121901,0.3326462,0.60409003,0.62248534,0.6192192,0.60109854,0.7307339,0.80796593,0.41028917,0.5713427,0.3406878,0.44567436,0.432687,0.6719395,0.37122142,0.5496477,1
0.23286086,0.23442279,0.48633242,0.4912697,0.6320715,0.66318136,0.79328656,0.8331701,0.5142485,0.38690162,0.400858,0.3028075,0.5406584,0.4054221,0.4577845,0.3360843,1
0.3566153,0.37489498,0.6611866,0.6749746,0.6237293,0.6516272,0.7965819,0.8674721,0.44426852,0.54247415,0.31293803,0.40584156,0.43248594,0.6479174,0.34653708,0.5225427,1
0.30233815,0.29671663,0.5486654,0.5451399,0.60686076,0.5731302,0.81332433,0.77124137,0.5384737,0.4431637,0.68431544,0.5579587,0.5379132,0.37176257,0.627383,0.49324793,1
0.4384551,0.45022035,0.6517371,0.6717321,0.5019525,0.537401,0.65434015,0.6657368,0.48268092,0.3946049,0.44840902,0.3617139,0.55510795,0.45307478,0.5230428,0.49107552,1
0.321268,0.3259786,0.65271276,0.66821426,0.6299552,0.64892805,0.92837584,0.9040618,0.67917097,0.4186641,0.70288515,0.554817,0.6807891,0.2855581,0.7012918,0.43490505,1
0.24808866,0.245253,0.5209706,0.5337336,0.62788606,0.65304655,0.870459,0.9112894,0.38699913,0.32772237,0.24845466,0.17497608,0.5050909,0.4847228,0.3400336,0.2882101,1
0.31924823,0.32714462,0.5084773,0.50900114,0.5211303,0.5017412,0.7079148,0.6874332,0.6749078,0.4993707,0.6361462,0.5467967,0.7212082,0.45317954,0.7307431,0.46426088,1
0.30889106,0.345289,0.5392653,0.5473174,0.66793656,0.6459713,0.86864775,0.8297152,0.52800775,0.4335426,0.6166747,0.53158545,0.47794175,0.38535973,0.5784941,0.4579929,1
0.34553468,0.36700344,0.6154299,0.614577,0.62612814,0.634544,0.8922431,0.85585827,0.5176444,0.36245903,0.6721332,0.52407265,0.5284721,0.31299525,0.6413796,0.41064894,1
0.3361535,0.32029784,0.5471837,0.54011434,0.54276806,0.52981436,0.75636506,0.7719635,0.5875929,0.41577494,0.43597943,0.28329405,0.6775056,0.43673712,0.56840634,0.31977767,1
0.23666817,0.23568372,0.53570807,0.53405166,0.5922171,0.6161511,0.82832444,0.88114524,0.4801633,0.3162116,0.34575796,0.21100758,0.5680375,0.38413334,0.44570673,0.24295092,1
0.3348307,0.29939994,0.5633911,0.557122,0.5638583,0.5868603,0.7895895,0.79619145,0.58850443,0.434283,0.4336627,0.31433108,0.65506506,0.41487047,0.53491926,0.31506264,1
0.29950327,0.30589372,0.6266123,0.62591094,0.61011374,0.6171096,0.84469336,0.83525324,0.57332826,0.3239877,0.5129603,0.38899598,0.7199473,0.18685934,0.59948,0.29036254,1
0.27709424,0.2567738,0.54623246,0.53316206,0.64211357,0.59969723,0.8940327,0.8229191,0.60729015,0.39523548,0.7338989,0.54643565,0.50301164,0.29851833,0.63030726,0.4470544,1
0.3399237,0.33077544,0.6498393,0.62817574,0.5583118,0.5214968,0.8298101,0.7615966,0.53744394,0.7226825,0.7351055,0.7999855,0.44914603,0.554337,0.58505315,0.7102865,1
0.24894905,0.24697149,0.51392996,0.5061468,0.59950066,0.5697921,0.82418084,0.76949847,0.5491841,0.44667608,0.73358244,0.6311839,0.5205218,0.42322707,0.66119885,0.52537847,1
0.37255126,0.3641947,0.5724992,0.5703995,0.5379104,0.5317653,0.66704696,0.6700977,0.67214227,0.61022043,0.7299812,0.65193546,0.5812805,0.5715865,0.6554277,0.6411823,1
0.3697619,0.37747538,0.56946605,0.57727337,0.52224344,0.52328074,0.6637652,0.66919196,0.38582397,0.31752938,0.3388437,0.26097855,0.4282907,0.42402405,0.35366592,0.35151953,1
